category,format,n,pause_ratio_n,pause_ratio_median,pause_ratio_q1,pause_ratio_q3,pause_ratio_mean,pauses_per_min_n,pauses_per_min_median,pauses_per_min_q1,pauses_per_min_q3,pauses_per_min_mean,mean_pause_sec_n,mean_pause_sec_median,mean_pause_sec_q1,mean_pause_sec_q3,mean_pause_sec_mean,sound_level_dbp_n,sound_level_dbp_median,sound_level_dbp_q1,sound_level_dbp_q3,sound_level_dbp_mean,loudness_mean_n,loudness_mean_median,loudness_mean_q1,loudness_mean_q3,loudness_mean_mean,loudness_variability_n,loudness_variability_median,loudness_variability_q1,loudness_variability_q3,loudness_variability_mean,edited_speech_density_wpm_n,edited_speech_density_wpm_median,edited_speech_density_wpm_q1,edited_speech_density_wpm_q3,edited_speech_density_wpm_mean,pause_measured_n,zero_pause_pct,audio_present_pct,speech_density_coverage_pct
all,regular,880,852,0.03774000538358166,0.012323681448725012,0.08060303131245392,0.06149423884084965,851,3.6869056327724943,1.2898442397646719,7.555545023696682,5.06692449790835,826,0.5853005952380959,0.4954425711275027,0.7312751048665282,0.7712042164934615,852,-20.705687522888184,-24.111810207366943,-17.159867763519287,-21.00549564507086,852,0.8122378289699554,0.5738818943500519,1.1693229675292969,0.8923689930179449,852,0.6690647602081299,0.5741245746612549,0.7643744051456451,0.6846767322558193,813,151.07142857142856,120.21377672209026,175.5893536121673,145.88276174885561,852,3.051643192488263,96.81818181818181,92.38636363636363
all,Shorts,975,968,0.0,0.0,0.015963518705126595,0.02572172006391041,968,0.0,0.0,1.9354838709677418,1.8648440869894403,338,0.4800000000000002,0.3600000000000001,0.6630000000000003,0.8813781775599216,968,-16.035932540893555,-19.467823028564453,-12.241800308227539,-16.98225956367067,968,1.3486716747283936,0.9229536652565002,1.8481122851371765,1.416305983690439,968,0.5547641813755035,0.4320727735757828,0.6544263362884521,0.5574960200316157,587,189.6774193548387,144.56632653061223,229.4607087827427,187.6084124837329,968,65.08264462809917,99.28205128205128,60.2051282051282
comedy,Shorts,265,265,0.0,0.0,0.022955523672883796,0.02320798544355446,265,0.0,0.0,2.8,2.108763500580652,113,0.46800000000000014,0.3700000000000001,0.6814285714285718,0.5762556315366053,265,-14.009880065917969,-17.330331802368164,-11.375770568847656,-14.585788897748264,265,1.554040789604187,1.2625317573547363,2.093594551086426,1.6440511452701856,265,0.5882046222686768,0.5249443650245667,0.7095395922660828,0.6229645283154721,151,140.68965517241378,115.5764411027569,173.7433155080214,145.46664066589796,265,57.35849056603774,100.0,56.9811320754717
comedy,regular,198,185,0.02332721142512541,0.00873563218390805,0.04747602487090318,0.037152142177070316,185,2.5903614457831323,0.7361963190184049,4.884816753926701,3.376472148768991,179,0.5963900414937767,0.5139710789766407,0.7070712449504224,0.7655499301933165,185,-17.241565704345703,-20.799814224243164,-15.015666961669922,-18.03931646347046,185,1.2656266689300537,1.0290005207061768,1.5174157619476318,1.2919892990508595,185,0.5940197706222534,0.5238779187202454,0.673995852470398,0.6058963748248848,174,132.10067814293166,101.00359776193388,153.9228652838982,121.63340783359125,185,3.2432432432432434,93.43434343434343,87.87878787878788
howto,Shorts,229,226,0.0,0.0,0.025564235606175188,0.05175247079982868,226,0.0,0.0,3.0,2.37338767539265,88,0.5683333333333336,0.3875000000000001,0.7875000000000005,1.7529977186639278,226,-17.672548294067383,-22.574243545532227,-12.99129319190979,-20.309346395256245,226,1.0096957087516785,0.6437435448169708,1.5767215192317963,1.2035388893342733,226,0.49399639666080475,0.36464973539114,0.6485013067722321,0.5162118546071306,104,197.2811059907834,166.10047846889952,228.0,191.71945416571242,226,61.06194690265486,98.68995633187772,45.414847161572055
howto,regular,144,138,0.05369571113099865,0.01587607164268858,0.13013589982778195,0.08933001034517105,138,5.213316095669036,1.4819388854168052,10.144028619796565,6.298270705925008,134,0.6209833659491195,0.47689248251748273,0.8437834114081024,0.8206206639647412,138,-23.533607482910156,-26.31869888305664,-20.481242656707764,-23.97463305791219,138,0.5914965867996216,0.4582633152604103,0.7604192495346069,0.6280519337109898,138,0.7259557247161865,0.6333407759666443,0.8357243686914444,0.7485193068134612,140,162.1629479809758,137.06966881207111,181.72204266321913,157.79407543308372,138,2.898550724637681,95.83333333333334,97.22222222222221
product_reviews,Shorts,177,176,0.0,0.0,0.022217339324592897,0.02511997119444104,176,0.0,0.0,2.699891264951069,2.5725846034703,76,0.45664285714285735,0.3675000000000001,0.5700000000000003,0.5992445490661641,176,-17.5225248336792,-21.90558624267578,-13.646239042282104,-18.016448012807153,176,1.0933818221092224,0.7511591762304306,1.4793874323368073,1.1815364083105868,176,0.5860304832458496,0.47021128982305527,0.670761838555336,0.585726762783121,115,190.0,158.2868672046955,216.91453940066594,183.5578503436947,176,56.81818181818182,99.43502824858757,64.97175141242938
product_reviews,regular,304,300,0.0504642581941103,0.0184521795258493,0.1073888828041618,0.07449833397617502,300,4.576354767817898,1.7887882370130301,9.366174710809734,6.095601283137551,288,0.5828571428571431,0.48975937500000033,0.7587565684956619,0.8616417646088952,300,-21.852011680603027,-25.336268424987793,-18.480825901031494,-22.244125566482545,300,0.707957923412323,0.48213067650794983,0.903176948428154,0.7423603332042694,300,0.6936756372451782,0.5942121148109436,0.7877803146839142,0.7074492892622948,289,156.82971680764987,131.5850144092219,181.5669205658324,153.3600444245758,300,4.0,98.68421052631578,95.06578947368422
vlogs,Shorts,304,301,0.0,0.0,0.0,0.008741978565915092,301,0.0,0.0,0.0,0.8544393478484833,61,0.4500000000000002,0.3600000000000001,0.5868750000000003,0.5406975849207047,301,-15.624154090881348,-18.54353904724121,-12.347888946533203,-15.989322472252322,301,1.4767048358917236,1.026250958442688,1.9544237852096558,1.512825388250953,301,0.5147947072982788,0.4132549464702606,0.5994405150413513,0.5143480332091798,217,224.4,180.0,260.0,217.10921366194296,301,79.734219269103,99.01315789473685,71.38157894736842
vlogs,regular,234,229,0.030721515862239243,0.011279021020901128,0.06426593750537414,0.04734892388279383,228,3.159068934011053,1.3385664118983682,5.982128946524309,4.339752885258009,225,0.5720224719101126,0.5004910714285715,0.6435051546391756,0.6305122139571484,229,-20.093997955322266,-22.518264770507812,-16.886240005493164,-19.989832803151494,229,0.8494229912757874,0.6527592539787292,1.0816843509674072,0.9253322921986142,229,0.6675291061401367,0.5828412771224976,0.7587257623672485,0.6800143904821321,210,156.30821338563936,116.3735059760956,177.7599004768816,147.74404256876477,229,1.7467248908296942,97.86324786324786,89.74358974358975
