category,format,n,duration_sec_n,duration_sec_median,duration_sec_q1,duration_sec_q3,views_n,views_median,views_q1,views_q3,subscribers_n,subscribers_median,subscribers_q1,subscribers_q3,age_days_n,age_days_median,age_days_q1,age_days_q3,transcript_usable_pct,audio_present_pct
all,regular,880,879,843.0,442.5,1441.5,880,161555.5,13361.5,1320409.0,879,195000.0,14500.0,1560000.0,880,190.0,15.0,1880.25,92.38636363636363,96.81818181818181
all,Shorts,975,975,37.0,21.0,59.0,975,408909.0,31986.5,3624957.5,975,220000.0,30700.0,1770000.0,975,13.0,3.0,519.0,60.2051282051282,99.28205128205128
comedy,Shorts,265,265,33.0,21.0,56.0,265,1730567.0,263793.0,14187514.0,265,1170000.0,103000.0,4120000.0,265,8.0,2.0,372.0,56.9811320754717,100.0
comedy,regular,198,198,1288.0,646.0,2254.25,198,807284.0,234339.75,2247750.75,198,1500000.0,243000.0,2910000.0,198,37.0,11.0,118.25,87.87878787878788,93.43434343434343
howto,Shorts,229,229,25.0,15.0,44.0,229,541613.0,48132.0,3322264.0,229,276000.0,37300.0,1240000.0,229,914.0,6.0,1669.0,45.414847161572055,98.68995633187772
howto,regular,144,144,685.5,383.25,1206.0,144,1387603.5,389381.75,3324023.0,144,682500.0,174750.0,1427500.0,144,2196.0,1625.75,3042.0,97.22222222222221,95.83333333333334
product_reviews,Shorts,177,177,39.0,20.0,59.0,177,28771.0,5708.0,264452.0,177,39300.0,2890.0,140000.0,177,358.0,3.0,777.0,64.97175141242938,99.43502824858757
product_reviews,regular,304,304,475.5,263.75,802.75,304,6708.5,2378.75,18744.5,303,5550.0,2130.0,34300.0,304,1551.0,509.25,2434.0,95.06578947368422,98.68421052631578
vlogs,Shorts,304,304,52.0,31.0,66.0,304,336781.5,36963.5,2241476.0,304,218500.0,33275.0,1587500.0,304,10.0,5.75,24.0,71.38157894736842,99.01315789473685
vlogs,regular,234,233,1235.0,891.0,1878.0,234,253435.5,79792.75,1013015.0,234,538500.0,91775.0,3740000.0,234,13.5,8.0,37.75,89.74358974358975,97.86324786324786
