feature,rho_overall,n_overall,rho_regular,n_regular,rho_shorts,n_shorts,rho_category_comedy,n_category_comedy,rho_category_howto,n_category_howto,rho_category_product_reviews,n_category_product_reviews,rho_category_vlogs,n_category_vlogs,format_sign_reversal,pooled_vs_format_reversal
log1p subscribers,0.7052641337883453,1113,0.7502787916786484,547,0.6756989996300398,566,0.44895076803234046,285,0.5601709517407706,228,0.4410416237267703,276,0.7438144840604642,324,False,False
frame brightness,0.19517931393991628,1113,0.1856414713872585,547,0.14972421551113818,566,0.17141368638774124,285,-0.009227713108637743,228,0.08032192467600782,276,0.2847538655588191,324,False,False
sound level (dBp),0.17594176968930236,1091,0.16793284393402416,529,0.096554869132446,562,0.08506556698677245,276,-0.2023947800514994,222,0.17437612509392944,275,0.21055639507948382,318,False,False
thumbnail brightness (crop),0.16985819044517375,1113,0.2047327872359186,547,0.12107075559341109,566,0.18539607168220956,285,0.021677127238965775,228,0.029368877351761455,276,0.21144999250262408,324,False,False
Shorts indicator,0.15523163088160777,1113,,547,,566,0.1920339940144899,285,-0.17533289205647162,228,0.37648176817023243,276,0.025942599716357286,324,False,False
pause ratio,-0.15083669032645586,1091,-0.2135184111529358,529,0.024947835330638157,562,-0.07013673163398033,276,0.15214105589894616,222,-0.23869758525541085,275,-0.23813880224260744,318,True,True
thumbnail face present,0.14461071487668967,1113,0.16915585245972095,547,0.14339092193454278,566,-0.08649307899473109,285,0.10410031776239309,228,0.09181848479249771,276,0.24233781349827263,324,False,False
pauses/min,-0.14071398548639893,1090,-0.18797911071923953,528,0.023593574572299988,562,-0.07562670728129166,276,0.19272352763885356,222,-0.2506113588693107,275,-0.22553272729952165,317,True,True
log1p age (days),0.13216067820485178,1113,-0.015160358408311737,547,0.38036890747767643,566,0.5902953506906256,285,0.5559797581594788,228,0.12230945520214662,276,0.022470070615467748,324,True,True
thumbnail contrast,-0.09250738373276161,1113,-0.16425381890288432,547,0.08714399380148778,566,-0.19416558237907386,285,-0.002082664676812359,228,-0.2899576618423942,276,0.19760330942993481,324,True,True
loudness variability,-0.06385504167190435,1091,-0.18981691360024727,529,0.1326891170335724,562,0.07398410410810348,276,0.27639012737385543,222,-0.22031941091131627,275,-0.16156841686725992,318,True,True
frame face prevalence,0.05799332122250317,1113,0.011399523658853794,547,0.18207148562212308,566,-0.18694713201626104,285,0.17084411456960089,228,-0.023477395097852915,276,0.25349853939699457,324,False,False
log1p duration (s),-0.047864309329249025,1112,0.25014083934929127,546,0.09487984454122528,566,-0.1408559971264014,285,0.13125293232979146,228,-0.2301183888985758,276,0.007229276926547694,323,False,True
edited speech density,0.04720985117055696,821,-0.01943591055899501,491,-0.08180294968020588,330,-0.26098813123098424,187,0.19956781068889415,148,0.17752815587191367,228,0.19071922633145044,258,False,True
thumbnail CCT (K),0.04184423606465077,1108,-0.015190912629499261,544,0.06303212184477616,564,0.2038782817792004,284,-0.021566930464049484,226,0.052923588214293216,274,0.01253843618308034,324,True,True
thumbnail saturation,0.03508874051402149,1113,0.10876656269320896,547,0.011522343283811748,566,-0.2852006407232501,285,0.05747425524741388,228,-0.006307273912654552,276,0.10094043555343865,324,False,False
thumbnail face area,0.03382505815302717,1113,0.05810065594074353,547,0.05609844571410594,566,-0.18453683954418185,285,0.051000491239908276,228,0.024641468847244438,276,0.13982803347610928,324,False,False
frame CCT (K),-0.001213078204160706,1110,-0.02877632458117832,545,0.04743365493179367,565,0.09753158451498405,283,-0.1638183799133716,227,-0.12721338554150122,276,0.07760789605990845,324,True,True
