feature,log1p views,log1p subscribers,log1p age (days),log1p duration (s),Shorts indicator,thumbnail CCT (K),frame CCT (K),thumbnail brightness (crop),frame brightness,thumbnail saturation,thumbnail contrast,thumbnail face present,thumbnail face area,frame face prevalence,pause ratio,pauses/min,sound level (dBp),loudness variability,edited speech density
log1p views,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
log1p subscribers,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
log1p age (days),1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
log1p duration (s),1112,1112,1112,1112,1112,1107,1109,1112,1112,1112,1112,1112,1112,1112,1090,1090,1090,1090,821
Shorts indicator,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
thumbnail CCT (K),1108,1108,1108,1107,1108,1108,1106,1108,1108,1108,1108,1108,1108,1108,1086,1085,1086,1086,818
frame CCT (K),1110,1110,1110,1109,1110,1106,1110,1110,1110,1110,1110,1110,1110,1110,1089,1088,1089,1089,819
thumbnail brightness (crop),1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
frame brightness,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
thumbnail saturation,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
thumbnail contrast,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
thumbnail face present,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
thumbnail face area,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
frame face prevalence,1113,1113,1113,1112,1113,1108,1110,1113,1113,1113,1113,1113,1113,1113,1091,1090,1091,1091,821
pause ratio,1091,1091,1091,1090,1091,1086,1089,1091,1091,1091,1091,1091,1091,1091,1091,1090,1091,1091,801
pauses/min,1090,1090,1090,1090,1090,1085,1088,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,801
sound level (dBp),1091,1091,1091,1090,1091,1086,1089,1091,1091,1091,1091,1091,1091,1091,1091,1090,1091,1091,801
loudness variability,1091,1091,1091,1090,1091,1086,1089,1091,1091,1091,1091,1091,1091,1091,1091,1090,1091,1091,801
edited speech density,821,821,821,821,821,818,819,821,821,821,821,821,821,821,801,801,801,801,821
