feature,log1p views,log1p subscribers,log1p age (days),log1p duration (s),Shorts indicator,thumbnail CCT (K),frame CCT (K),thumbnail brightness (crop),frame brightness,thumbnail saturation,thumbnail contrast,thumbnail face present,thumbnail face area,frame face prevalence,pause ratio,pauses/min,sound level (dBp),loudness variability,edited speech density
log1p views,1.0,0.7052641337883453,0.13216067820485178,-0.047864309329249025,0.15523163088160777,0.04184423606465077,-0.001213078204160706,0.16985819044517375,0.19517931393991628,0.03508874051402149,-0.09250738373276161,0.14461071487668967,0.03382505815302717,0.05799332122250317,-0.15083669032645586,-0.14071398548639893,0.17594176968930236,-0.06385504167190435,0.04720985117055696
log1p subscribers,0.7052641337883453,1.0,-0.14028306309572863,0.10622743949830715,0.03587217761484062,0.012749263472976485,0.0641968818120919,0.11358750490038402,0.11559730070482058,0.12027991504187943,-0.02931611766246302,0.24556150708707372,0.15732066562318836,0.18360251701834499,-0.11586288368704302,-0.10591285407454046,0.14447439871075698,-0.05037303634826015,0.03764451988744466
log1p age (days),0.13216067820485178,-0.14028306309572863,1.0,0.13898896494239207,-0.2834621306631455,0.04766729287796035,-0.014178114969525238,0.015060408117962363,-0.016068488656003944,-0.12382284456128254,0.04550025327007107,-0.19365127333293392,-0.14159409163670245,-0.08970095343873843,0.27631672169090415,0.2643635288095183,-0.31401396967645484,0.16449957365293585,-0.07995880365392444
log1p duration (s),-0.047864309329249025,0.10622743949830715,0.13898896494239207,1.0,-0.8478231338743129,-0.10940144396676375,0.06431991645669122,-0.07995590568116416,-0.19860291864952415,0.16524260070889937,0.3536158688053556,0.16559698976199166,0.23651907404265676,0.2795460245506273,0.4829338867859059,0.47748751994694266,-0.3504685972688037,0.3598522652570579,-0.34428836482456304
Shorts indicator,0.15523163088160777,0.03587217761484062,-0.2834621306631455,-0.8478231338743129,1.0,0.08045985896489316,-0.07941369811088934,0.055673401873025885,0.17214397092759687,-0.13956666835465376,-0.38409780834070817,-0.06746971127289335,-0.15852920365372503,-0.2328145279873473,-0.5378420670325904,-0.516775956686734,0.38160746907920173,-0.3748349570385017,0.35847367147129217
thumbnail CCT (K),0.04184423606465077,0.012749263472976485,0.04766729287796035,-0.10940144396676375,0.08045985896489316,1.0,0.5263068878799327,0.11924653176769828,0.14603741907612347,-0.4783928193583274,-0.06944751458955453,-0.11694760581323502,-0.20472210622750572,-0.15223380566961917,-0.012844979505679982,-0.01484006345312893,0.042217995418814006,-0.04752420903749664,-0.014540009391744685
frame CCT (K),-0.001213078204160706,0.0641968818120919,-0.014178114969525238,0.06431991645669122,-0.07941369811088934,0.5263068878799327,1.0,0.0736058393693048,0.1262302083789643,-0.12783164164392458,0.09959955613429888,-0.02568111845986601,-0.06715901909468094,-0.03693308658300598,-0.00849467374989411,-0.010150796268144895,0.06581681597169918,-0.06584485850333675,-0.07720822938842191
thumbnail brightness (crop),0.16985819044517375,0.11358750490038402,0.015060408117962363,-0.07995590568116416,0.055673401873025885,0.11924653176769828,0.0736058393693048,1.0,0.6305530652783516,-0.0653852224902488,0.05373436325728792,-0.04697067167622288,-0.08377851135650138,-0.1345744007841694,-0.08291414748783743,-0.08039394821387173,0.05759007857296899,-0.024513772938292683,-0.031992415054004214
frame brightness,0.19517931393991628,0.11559730070482058,-0.016068488656003944,-0.19860291864952415,0.17214397092759687,0.14603741907612347,0.1262302083789643,0.6305530652783516,1.0,-0.13930153645742036,0.0034809038859685408,-0.07661011900169934,-0.13979419713021426,-0.18737011142258186,-0.12192601546979213,-0.11846671868752251,0.07824180348083003,-0.023520586030083508,-0.0033976387674783145
thumbnail saturation,0.03508874051402149,0.12027991504187943,-0.12382284456128254,0.16524260070889937,-0.13956666835465376,-0.4783928193583274,-0.12783164164392458,-0.0653852224902488,-0.13930153645742036,1.0,0.17722571278800853,0.15675378859918193,0.19377104941017775,0.185658142904331,0.02661165427361345,0.03049723683635516,0.033753412581262326,0.024093702161054092,-0.011288349268132259
thumbnail contrast,-0.09250738373276161,-0.02931611766246302,0.04550025327007107,0.3536158688053556,-0.38409780834070817,-0.06944751458955453,0.09959955613429888,0.05373436325728792,0.0034809038859685408,0.17722571278800853,1.0,0.08832630087131577,0.1625515108134791,0.18073103089741438,0.19741779622214853,0.19879791644567255,-0.0872954637258278,0.1045005540409063,-0.19623560537922027
thumbnail face present,0.14461071487668967,0.24556150708707372,-0.19365127333293392,0.16559698976199166,-0.06746971127289335,-0.11694760581323502,-0.02568111845986601,-0.04697067167622288,-0.07661011900169934,0.15675378859918193,0.08832630087131577,1.0,0.7858242776808821,0.463507247917724,-0.06327862733017003,-0.05719539114510892,0.102418570864254,-0.00889345312482443,0.006802777792936006
thumbnail face area,0.03382505815302717,0.15732066562318836,-0.14159409163670245,0.23651907404265676,-0.15852920365372503,-0.20472210622750572,-0.06715901909468094,-0.08377851135650138,-0.13979419713021426,0.19377104941017775,0.1625515108134791,0.7858242776808821,1.0,0.4998074018022475,0.011054447365960385,0.022770846627723638,0.012312119813944972,0.03951196547910027,-0.020971739194400027
frame face prevalence,0.05799332122250317,0.18360251701834499,-0.08970095343873843,0.2795460245506273,-0.2328145279873473,-0.15223380566961917,-0.03693308658300598,-0.1345744007841694,-0.18737011142258186,0.185658142904331,0.18073103089741438,0.463507247917724,0.4998074018022475,1.0,0.059154327791801624,0.07390803644995107,-0.03275086890038339,0.09292135864020482,-0.023515264586585347
