category,format,n,thumb_cct_k_n,thumb_cct_k_median,thumb_cct_k_q1,thumb_cct_k_q3,thumb_cct_k_mean,frames_cct_k_n,frames_cct_k_median,frames_cct_k_q1,frames_cct_k_q3,frames_cct_k_mean,thumb_brightness_raw_n,thumb_brightness_raw_median,thumb_brightness_raw_q1,thumb_brightness_raw_q3,thumb_brightness_crop_n,thumb_brightness_crop_median,thumb_brightness_crop_q1,thumb_brightness_crop_q3,frames_brightness_n,frames_brightness_median,frames_brightness_q1,frames_brightness_q3,thumb_saturation_n,thumb_saturation_median,thumb_saturation_q1,thumb_saturation_q3,frames_saturation_n,frames_saturation_median,frames_saturation_q1,frames_saturation_q3,thumb_contrast_n,thumb_contrast_median,thumb_contrast_q1,thumb_contrast_q3,frames_contrast_n,frames_contrast_median,frames_contrast_q1,frames_contrast_q3,frames_face_ratio_n,frames_face_ratio_median,frames_face_ratio_q1,frames_face_ratio_q3,thumb_face_measured_n,thumb_face_present_pct,thumb_face_count_given_face_n,thumb_face_count_given_face_median,thumb_face_count_given_face_q1,thumb_face_count_given_face_q3,thumb_max_face_area_given_face_n,thumb_max_face_area_given_face_median,thumb_max_face_area_given_face_q1,thumb_max_face_area_given_face_q3,thumb_face_centrality_given_face_n,thumb_face_centrality_given_face_median,thumb_face_centrality_given_face_q1,thumb_face_centrality_given_face_q3,cct_policy_valid_pct,cct_feature_valid_pct,cct_thumbnail_valid_pct,cct_frames_complete_pct,cct_frame_coverage_n,cct_frame_coverage_median,cct_frame_coverage_q1,cct_frame_coverage_q3,heuristic_thumb_crop_pct
all,regular,880,876,5312.359333470091,4631.88490391552,6080.727455258673,5460.897614973432,878,5762.09820818648,5277.692825426154,6231.4621927319695,5910.983929144322,880,144.34926432291667,120.0444970703125,168.77400851779515,880,145.13943481445312,124.32621383666992,168.16915893554688,880,136.3783831380208,111.32786480034726,155.3397769911024,880,87.3293212890625,63.16855767144097,115.77966959635415,880,68.87660970052085,55.24353106011284,88.54240671115451,880,72.17703229595321,62.610361524553284,80.67155229043128,880,58.252482328845474,51.13746108341674,64.561555000381,880,0.65,0.45,0.85,880,73.63636363636363,648,2.0,1.0,3.0,648,0.03080783420138889,0.0112890625,0.06043402777777778,648,0.2878810942737378,0.20909521430780786,0.3624098151924088,100.0,99.31818181818181,99.54545454545455,85.22727272727273,880,1.0,1.0,1.0,45.22727272727273
all,Shorts,975,973,5453.15181822108,4814.76661921198,6032.252204901891,5523.3676290898,974,5602.9821534477,5092.248523493372,6105.982224855505,5661.28048959272,975,80.32359266493056,70.08643174913195,91.07282389322916,975,151.80113220214844,134.1642074584961,171.52603912353516,975,148.44739973958332,133.26834266493057,163.38854806857637,975,77.50072482638889,59.276691080729165,97.29609483506945,975,73.23458680555557,57.762445421006944,89.01296875,975,62.62148007237466,57.91373512769985,67.43306485067745,975,59.41726731074384,53.8936648445339,65.03029644674034,975,0.45,0.2,0.7,975,69.12820512820514,674,1.0,1.0,2.0,674,0.014981011284722224,0.006644151475694445,0.03476671006944444,674,0.18477813148253858,0.1142797764627625,0.2813591964988934,100.0,99.7948717948718,99.7948717948718,96.0,975,1.0,1.0,1.0,97.74358974358974
comedy,Shorts,265,265,5561.506365154849,4849.203187327697,6104.218949570923,5612.478444501564,265,5693.632498181091,5208.086823720361,6155.307077081841,5762.829801581549,265,81.74876519097222,72.0929296875,91.97017578125,265,156.3116912841797,136.1093292236328,174.2132568359375,265,150.75493467881944,138.19724414062497,164.95292903645836,265,82.19737630208333,67.93243381076388,102.85888671875,265,80.05737673611111,66.72545659722223,92.98357031249999,265,63.731331823522375,58.68471796318099,68.22331524820454,265,59.832805098147276,55.43632034462026,64.96596810235694,265,0.6,0.45,0.8,265,81.50943396226415,216,2.0,1.0,2.25,216,0.012773980034722222,0.0057823350694444445,0.028917914496527777,216,0.18586214241409263,0.11644253233572475,0.3090667749035737,100.0,100.0,100.0,96.60377358490567,265,1.0,1.0,1.0,98.49056603773585
comedy,regular,198,197,5067.9907886872425,4307.707903198658,5847.873921045014,5213.464265896475,196,5885.952564313724,5259.800104647495,6698.911101321538,6259.733362813279,198,128.3976833767361,102.38647922092014,160.21093722873263,198,130.26318359375,107.1460189819336,160.30688095092773,198,101.87394392903644,63.59435120985244,146.00402973090277,198,114.12809624565972,89.64484212239583,146.6577072482639,198,90.7233422580295,68.59500775824652,117.23887771267363,198,75.7800802425042,69.05415210351975,82.74138103440006,198,56.08700033152669,47.76909840391589,63.83919423960046,198,0.75,0.6,0.9,198,95.95959595959596,190,2.0,1.0,4.0,190,0.03673611111111111,0.016731770833333333,0.06005235460069445,190,0.2858485296197484,0.2190612759767676,0.36848856798287627,100.0,98.48484848484848,99.4949494949495,78.28282828282829,198,1.0,1.0,1.0,44.94949494949495
howto,Shorts,229,227,5628.5297091096745,4815.689769035728,6233.842426928064,5603.896606966009,228,5662.256076308187,5031.777835673862,6203.424242101077,5719.140453266062,229,87.21375542534722,74.01224283854167,99.45680881076389,229,158.3237762451172,138.20545959472656,178.81521606445312,229,157.94779101562497,139.2843218315972,175.05760590277777,229,71.64461263020833,43.77716796875,91.75933919270834,229,63.80647366898147,47.74691167534723,82.76982486979168,229,63.56818644351446,59.057408431439626,69.84363102011214,229,55.32517363330054,45.44725155325487,63.35427083652961,229,0.15,0.05,0.45,229,47.161572052401745,108,1.0,1.0,2.0,108,0.020968967013888888,0.006559516059027778,0.05275716145833333,108,0.19647770444480783,0.10083012476714973,0.3235032095489586,100.0,99.12663755458514,99.12663755458514,96.94323144104804,229,1.0,1.0,1.0,94.32314410480349
howto,regular,144,143,5703.556370632798,4787.368925478475,6278.330815908602,5603.565922147387,144,5731.072159767454,5179.383268716708,6167.81115222558,5737.96354555559,144,176.8503488498264,142.94907253689234,200.5393478732639,144,172.72866821289062,143.2036476135254,199.2563591003418,144,161.60530327690972,141.57556708441837,180.6387973678024,144,69.9409347873264,51.12367757161458,91.59454264322918,144,61.47265934244791,46.25373502604166,82.62858865017361,144,61.583505367208275,49.24447599906092,73.91680466437334,144,52.22446305418957,42.869712021555685,59.94311462614215,144,0.4,0.1875,0.6,144,46.52777777777778,67,1.0,1.0,2.0,67,0.01173611111111111,0.004655490451388889,0.04362250434027778,67,0.32390400552633947,0.2441294577349848,0.3890371645342615,100.0,99.30555555555556,99.30555555555556,88.88888888888889,144,1.0,1.0,1.0,56.25
product_reviews,Shorts,177,177,5327.440062277779,4694.086763736523,5919.557589595548,5365.938555311335,177,5396.321212877045,4938.9879194300975,6059.47805392093,5545.417122122233,177,77.85851236979167,66.44408962673612,90.859609375,177,148.40541076660156,129.38031005859375,168.0045928955078,177,143.93982725694448,127.44896006944441,160.31996440972222,177,75.63222764756945,59.250797526041666,96.3249685329861,177,73.73573480902778,57.73293793402779,89.47442708333332,177,61.8186759875096,57.00968121415084,67.69967271140874,177,60.01920019588853,54.100093756414125,66.66634966888724,177,0.45,0.1,0.8,177,67.79661016949152,120,1.0,1.0,2.0,120,0.02281467013888889,0.00807373046875,0.04482503255208333,120,0.20309817178623946,0.12004404765589521,0.2921836824145084,100.0,100.0,100.0,96.61016949152543,177,1.0,1.0,1.0,97.74011299435028
product_reviews,regular,304,302,5559.559541347578,4798.061304126033,6319.725531671459,5715.401517094991,304,5795.691983829285,5283.201117144497,6282.865121430832,5918.521982606296,304,139.36364312065973,116.30376247829861,163.8292876519097,304,141.2797393798828,123.44128036499022,161.35712814331055,304,129.12435811109503,110.38884403483073,148.61500552029077,304,79.46145399305556,55.65464138454861,109.60365668402778,304,64.82650654194234,52.13166212293838,83.760013929579,304,72.91604519510557,63.9091408153054,83.61834317319327,304,60.69631438269446,53.782357496581746,67.46091239116576,304,0.65,0.35,0.85,304,57.23684210526315,174,1.0,1.0,2.0,174,0.03321831597222222,0.014168565538194445,0.08117296006944444,174,0.2805674951011181,0.18237714032023752,0.3492434371324702,100.0,99.3421052631579,99.3421052631579,85.52631578947368,304,1.0,1.0,1.0,51.64473684210527
vlogs,Shorts,304,304,5392.821318556745,4834.001544918112,5882.875862927032,5477.217964605497,304,5552.553813388951,5147.863503218452,5948.736334883668,5596.823833828625,304,76.99156141493056,68.81850992838541,84.82795735677084,304,148.21751403808594,134.13258743286133,162.08866119384766,304,142.95556566132774,131.49956716579862,154.5955796983507,304,77.06895562065972,61.550297037760416,95.74465304904514,304,72.46286534288194,58.84276215277778,86.13163812934029,304,61.28826161880069,57.451307062497676,65.76222971865171,304,60.459555174592964,55.63910882356675,64.9443007239755,304,0.45,0.25,0.65,304,75.6578947368421,230,1.0,1.0,2.0,230,0.01385525173611111,0.007119140625,0.029095323350694445,230,0.1765558360701611,0.11576574991212438,0.2451462319465793,100.0,100.0,100.0,94.4078947368421,304,1.0,1.0,1.0,99.67105263157895
vlogs,regular,234,234,5188.5551845249165,4588.385251096004,5745.674146973144,5253.5583987408445,234,5672.643498234669,5313.600958846697,6055.789045828145,5715.55007438031,234,147.2046365017361,133.7362095811632,163.98091634114581,234,147.2329864501953,134.17753219604492,162.94561386108398,234,140.79476917860242,129.28534912109376,151.25965512424045,234,86.79305392795139,67.80693277994791,107.50567165798611,234,65.78948700629341,57.07979473198785,77.14919546169705,234,72.04618155809261,63.8427482470353,78.46729811725712,234,58.823294804523364,55.043475968109774,63.67771978871166,234,0.7,0.6,0.85,234,92.73504273504274,217,3.0,2.0,4.0,217,0.024740668402777777,0.011068793402777779,0.052041015625,217,0.28665003055531163,0.1975028845315144,0.3510263079293444,100.0,100.0,100.0,88.46153846153845,234,1.0,1.0,1.0,30.34188034188034
