video_id,category,channel_id,api_status,is_short,flag_unreadable_json,duration_sec,duration_source,age_days_at_collection,view_count,channel_follower_count,subs_source,flag_duration_missing,flag_subs_missing,flag_likes_missing,flag_comments_missing,thumb_width,thumb_height,thumb_subhd,frames_portrait,vis_cct_valid,vis_cct_policy_valid,vis_cct_thumbnail_valid,vis_cct_frames_valid,vis_cct_frames_total,vis_cct_frame_coverage,vis_cct_frames_complete,vis_cct_any_missing,audio_present,pause_ratio,no_speech,had_auto_captions,transcript_source,srt_present,transcript_present,transcript_clean_present,transcript_final_source,transcript_raw_words,flag_clean_shadows_raw,transcript_words,transcript_dup8,latin_ratio,en_stopword_rate,tag_token_ratio,lang_declared,transcript_kind,transcript_usable
-ERhH_wltqU,comedy,UCx2NCyudktBrTSdgvlY3weg,ok,false,,2091,metadata,79,5876497,2090000,metadata,0,0,0,0,1280,720,0,0,1,1,1,20,20,1.0,1,0,1,0.0084783450729482,0,1,auto_captions,1,1,1,srt_dedup,9445,0,3429,0.0029,1.000,0.346,0.015,ta,translated_en,1
-bgnv0CyEjw,comedy,UC4cYMHpxYe_3NcqmMp7SJIg,ok,true,,28,metadata,4,56140188,1820000,metadata,0,0,1,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.0,0,1,auto_captions,1,1,1,srt_dedup,167,0,61,0.0000,1.000,0.344,0.000,hi,translated_en,1
05hLL9klsi0,comedy,UC_DDiRuGv40PpNEad777xIw,ok,true,,28,metadata,9,1022946,23200,metadata,0,0,1,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.0,0,0,whisper,0,1,0,whisper,3,0,3,0.0000,1.000,0.000,0.000,hi,sparse,0
076rwe5EmsA,comedy,UCgDxHoam3RE7SX2HTSMqjlA,ok,false,,598,metadata,2109,55691719,4570000,metadata,0,0,0,0,1280,720,0,0,1,1,1,20,20,1.0,1,0,1,0.008285212151644492,0,1,auto_captions,1,1,1,srt_dedup,2050,0,718,0.0113,1.000,0.455,0.008,en,native_en,1
0SOJ9G6hn5g,comedy,UCrq11szgal4N031rzisp1rA,ok,true,,14,metadata,3,2737728,1180000,metadata,0,0,0,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.07500000000000002,0,1,auto_captions,1,1,1,srt_dedup,79,0,31,0.0000,1.000,0.355,0.000,en,sparse,0
0rr1RfSNFPI,comedy,UC4zqu9xd1eALF4WljPym_NA,ok,true,,10,metadata,0,25189,32,metadata,0,0,0,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.0,0,1,auto_captions,1,1,1,srt_dedup,68,0,23,0.0000,1.000,0.261,0.042,hi,sparse,0
0vXVANfo6T0,comedy,UCvuG9qS8867gurnvb2Hmg2w,ok,true,,37,metadata,0,27262,31100,metadata,0,0,0,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.0,0,1,auto_captions,1,1,1,srt_dedup,246,0,93,0.0465,1.000,0.446,0.000,te,translated_en,1
0vdzXfs6sbU,comedy,UCcbRJw2fiNubnR7JPSjGRoQ,ok,true,,7,metadata,8,1572032,11300000,metadata,0,0,0,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.1898734177215191,0,1,whisper,1,1,1,srt_dedup,4,0,3,0.0000,1.000,0.000,0.000,en,sparse,0
11eMhMmL3pI,comedy,UCrq11szgal4N031rzisp1rA,ok,true,,27,metadata,2,1336132,1170000,metadata,0,0,0,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.07555555555555558,0,1,auto_captions,1,1,1,srt_dedup,122,0,50,0.0000,1.000,0.260,0.000,en,native_en,1
14A9jRxDJhk,comedy,UC_DDiRuGv40PpNEad777xIw,ok,true,,39,metadata,6,5290550,23200,metadata,0,0,0,0,1280,720,0,1,1,1,1,20,20,1.0,1,0,1,0.0,0,1,auto_captions,1,1,1,srt_dedup,263,0,92,0.0000,1.000,0.283,0.021,hi,translated_en,1
