video_id,days_since_upload,view_count,channel_follower_count,log_views,age_band,size_band,is_short,cell_size,cell_percentile,label,warnings
-ERhH_wltqU,79,5876497,2090000,15.5865,1,1,false,32,1.0000,viral,
-bgnv0CyEjw,4,56140188,1820000,17.8434,0,1,true,43,1.0000,viral,
05hLL9klsi0,9,1022946,23200,13.8382,1,0,true,28,0.3929,typical,
076rwe5EmsA,2109,55691719,4570000,17.8353,2,2,false,18,1.0000,viral,
0SOJ9G6hn5g,3,2737728,1180000,14.8226,0,1,true,43,0.8837,viral,
0rr1RfSNFPI,0,25189,32,10.1342,0,0,true,43,0.2791,typical,
0vXVANfo6T0,0,27262,31100,10.2133,0,0,true,43,0.3256,typical,
0vdzXfs6sbU,8,1572032,11300000,14.2679,1,2,true,20,0.3500,typical,
11eMhMmL3pI,2,1336132,1170000,14.1053,0,1,true,43,0.7442,typical,
14A9jRxDJhk,6,5290550,23200,15.4814,1,0,true,28,0.7500,typical,
1DYW8R5YIWE,13,664051,228000,13.4061,0,0,false,30,0.9333,viral,
1PtCHJ1L_r4,687,145449678,19700000,18.7953,2,2,true,43,0.8140,viral,
1RzDqaFKo-s,0,341967,1380000,12.7425,0,1,true,43,0.5349,typical,
1Sjma_bPG9U,4,880738,742000,13.6885,0,1,true,43,0.6744,typical,
1V9kHMdsp6k,0,684202,11100,13.4360,0,0,true,43,0.8605,viral,
1WDbkroEOq0,702,307458,216000,12.6361,2,0,false,24,0.1667,typical,
1WTO3Q8Id4Q,93,557593,2310,13.2314,2,0,false,24,0.3333,typical,
1XCNE-hxZtE,1509,7990183,67600,15.8937,2,0,false,24,0.9583,viral,
1vUf3jTBw2Q,8,108988,362000,11.5990,1,1,true,27,0.0741,typical,
22mZyakmixw,41,117642,92600,11.6754,1,0,false,12,0.2500,typical,
28Dh5jEqJlw,78,3016254,1180000,14.9195,1,1,false,32,0.9062,viral,
2PYIrJw6I6E,28,219430,1420000,12.2988,1,1,false,32,0.2188,typical,
2ZFgD9fbnb8,3768,15729973,9620000,16.5711,2,2,false,18,0.5556,typical,
2ZoUPtdlAcs,3,889621,6160000,13.6986,0,2,true,16,0.5625,typical,
2e2JJEZBI-A,7,2298975,10300000,14.6480,0,2,false,21,0.9524,viral,
2m2520TuUdk,1310,18650544,674000,16.7414,2,1,false,24,0.9583,viral,
2sR4AL9Zxek,642,9163379,1880000,16.0307,2,1,true,27,0.3333,typical,
2tbBHlrjOlk,2,1180786,17900000,13.9817,0,2,true,16,0.6875,typical,
2yxMlBC4cqs,0,808870,1820000,13.6034,0,1,true,43,0.6279,typical,
34Spt_Yx6sQ,8,41434520,7330000,17.5396,1,2,true,20,1.0000,viral,
3XAwPxpeyeE,10,190232,17400,12.1560,1,0,true,28,0.0714,typical,
3ZmrW9a3tjo,548,7158425,1330000,15.7838,2,1,false,24,0.7500,typical,
3bvkoxZ6xcw,104,1485886,813000,14.2115,2,1,false,24,0.2500,typical,
3fRxeJmwOjQ,20,4081455,10300000,15.2220,1,2,false,20,0.8500,viral,
3uJwYeVdBl8,13,209829,7310000,12.2541,1,2,true,20,0.0500,typical,
3v9cUNDZOKw,7,10880874,924000,16.2025,1,1,true,27,0.8889,viral,
4EUtCtOLkAc,84,634722,424000,13.3609,2,0,false,24,0.3750,typical,
4FbGDT84p8I,43,155564,3080000,11.9548,1,2,false,20,0.2000,typical,
4cL-TZbokMg,137,40092974,5280000,17.5067,2,2,false,18,0.8333,viral,
4nszQoxUiUU,27,1370646,1630000,14.1308,1,1,false,32,0.7500,typical,
4ovMZZXbevA,3,464586,150000,13.0489,0,0,true,43,0.7907,viral,
5E2yES7_3M0,13,1936762,10300000,14.4765,0,2,false,21,0.8571,viral,
5GkNmgZ9PgU,4,122790,247000,11.7182,0,1,true,43,0.3256,typical,
5R_QsClCX5s,396,102494870,6940000,18.4453,2,2,true,43,0.7907,viral,
5gvigxqHZW4,319,43339948,5280000,17.5846,2,2,false,18,0.8889,viral,
6IDpBauWg7U,4,15692,822000,9.6610,0,1,true,43,0.0465,typical,
6NnPdyIMOiU,3,280875,400000,12.5457,0,0,false,30,0.6667,typical,
6QmGwKsY7Go,8,20769,30600,9.9413,0,0,false,30,0.1000,typical,
6gj3G8fYxV0,609,35851259,2830000,17.3949,2,1,true,27,0.8889,viral,
6jREQncUmZw,19,5890219,65000,15.5888,1,0,true,28,0.7857,viral,
6sjeDdoL2Yg,0,24220,155,10.0950,0,0,true,43,0.2326,typical,
6tDDqrjg2VU,109,135751,119000,11.8186,2,0,false,24,0.0833,typical,
7UroHdmYSt8,0,2048301,742000,14.5325,0,1,true,43,0.8140,viral,
7jhsJeMgoJM,306,24534712,297000,17.0156,2,1,true,27,0.7407,typical,
8BO6rULMDY4,18,1427462,75900,14.1714,1,0,false,12,0.8333,viral,
8FMnbXPYcGg,10,34130,2390000,10.4380,0,1,false,17,0.1176,typical,
8UJAnii6a9Y,6,113856,59400,11.6427,0,0,false,30,0.5000,typical,
8XfAkPQloyo,7,303968,738000,12.6247,1,1,true,27,0.1852,typical,
8rHf7NfxFQs,10,12897,409000,9.4648,0,0,false,30,0.0333,typical,
96hSrjynmuI,10,365301,7810,12.8085,1,0,true,28,0.1429,typical,
99b8pG_Ji4s,2,1112641,1450000,13.9222,0,1,true,43,0.7209,typical,
