video_id,days_since_upload,view_count,channel_follower_count,log_views,age_band,size_band,is_short,cell_size,cell_percentile,label,warnings
-AslLWhuWsQ,1740,9379931,6720000,16.0541,2,2,true,36,0.6389,typical,
-TyihOEvJ8E,2907,3128218,977000,14.9560,2,1,false,18,0.8333,viral,
-WS7ptWFB_k,1837,694574,15800,13.4511,1,0,false,20,0.3000,typical,
-fHPHxm6GlA,3147,301252,105000,12.6157,2,0,false,8,0.2500,typical,
-fdPfUh7wuE,1598,2356068,1240000,14.6725,0,2,false,15,0.8000,typical,
-pKzXYfA5Xs,1928,2061969,1570000,14.5392,2,2,true,36,0.3889,typical,
-xbK1_HILi0,472,68866,267000,11.1399,1,1,true,27,0.0370,typical,
00nnuddI4Ow,1708,26595430,912000,17.0962,2,1,true,24,0.9583,viral,
04DarPVWkpI,1987,2077407,243000,14.5466,1,0,false,20,0.7000,typical,
04vt8YfT7XM,4420,1511094,1150000,14.2283,2,2,false,22,0.2727,typical,
0AvwUwA8r-M,566,72713,399000,11.1943,1,1,true,27,0.0741,typical,
0FMpXg5t9II,1941,1459240,371000,14.1934,2,1,true,24,0.6250,typical,
0XI_6ZQX_DE,3,623453,165000,13.3430,0,1,true,26,0.8846,viral,
0dB7JjpBMtI,2880,5887981,3480000,15.5884,2,2,false,22,0.5455,typical,
0gGQgkMYYpk,180,395112,765000,12.8869,0,1,false,13,0.6154,typical,
0ki_KKWfhz8,1621,1615405,50200,14.2951,2,0,true,16,0.6875,typical,
0vXHNlyx_YA,1570,390541,1220000,12.8753,0,2,false,15,0.3333,typical,
1G_6IaCC-yo,1,1139,13600,7.0388,0,0,true,42,0.1667,typical,
1Ht986DK9Mk,0,6698,43900,8.8097,0,0,true,42,0.5238,typical,
1JaZbTfgCpM,489,2472058,720000,14.7206,1,1,true,27,0.7037,typical,
1V7nJJz9EyA,1166,66234,8120,11.1010,1,0,true,19,0.3158,typical,
1c_gHonRtYI,1654,5463622,971000,15.5136,0,1,false,13,1.0000,viral,
1zNfh_g8jXM,2289,328959,289000,12.7037,2,1,true,24,0.3750,typical,
29IKvPetR34,6,5665,226000,8.6422,0,0,false,20,0.2000,typical,
2EgVjMvKsao,352,523365,10100000,13.1680,1,2,true,30,0.1667,typical,
2Nvm9p_kPoo,2,28840,9490,10.2696,0,0,true,42,0.7857,viral,
2vAp_a7WyBg,127,1541647,265000,14.2484,0,1,true,26,0.9615,viral,
2xCcSfw4rHQ,2745,1145169,516000,13.9511,1,1,false,18,0.2222,typical,
3U0JTCLOSBA,3141,236264,1000000,12.3727,2,2,false,22,0.0455,typical,
3dbmsdprJoA,2302,13428513,750000,16.4129,1,1,false,18,0.9444,viral,
3pIW8QYCV0I,1994,67757,3460000,11.1237,2,2,true,36,0.0278,typical,
3wa5MAS8sj8,1640,14652387,6720000,16.5001,0,2,false,15,1.0000,viral,
3zCdiGz2oTY,3,37971,93100,10.5446,0,1,true,26,0.4231,typical,
4-K8xwb_yD8,1397,1763295,14300,14.3827,1,0,true,19,0.8421,viral,
4G1yjPG8WdU,1,1685,94100,7.4301,0,1,true,26,0.0769,typical,
4H5J8la6rNk,2906,226263,888000,12.3295,2,1,false,18,0.0556,typical,
4XTCQsSLBFw,3697,1300844,755000,14.0785,2,1,false,18,0.5556,typical,
4gm5k8tjWUc,1699,3825804,2680000,15.1573,2,2,true,36,0.5000,typical,
5Qz520tzebw,2006,12537015,1190000,16.3442,2,2,true,36,0.7500,typical,
5amBt3huPlc,1748,296343,751000,12.5993,2,1,true,24,0.3333,typical,
5wJPtYDWEeU,1169,1793625357,1740000,21.3075,1,2,true,30,1.0000,viral,
6Qu7sNgMnRs,1856,166594,671000,12.0233,2,1,true,24,0.2083,typical,
6YMNd2S7Dyo,1529,297764,236000,12.6041,0,0,false,20,0.5500,typical,
6plPaUuYcdc,1795,394969,445000,12.8866,2,1,true,24,0.4583,typical,
6zvqhRKDEgo,1752,3322264,106000,15.0162,2,1,true,24,0.8750,viral,
7Op3gCArRFQ,456,528011,720000,13.1769,1,1,true,27,0.3704,typical,
7WdfJYPFJdo,1870,385904,129000,12.8633,1,0,false,20,0.1000,typical,
7YjO5jr34nY,1594,410184,1480000,12.9244,2,2,true,36,0.1667,typical,
7Zv0AV0Vsu0,1268,16407863,6650000,16.6133,1,2,true,30,0.6333,typical,
7nO8iV1e2vg,1649,1116620,1240000,13.9258,2,2,true,36,0.3333,typical,
7sb9fl6UVlg,1993,5271468,3470000,15.4778,2,2,true,36,0.5556,typical,
81mbU1fM8pQ,2251,581200,464000,13.2729,1,1,false,18,0.1111,typical,
893Qn4TR9i4,1,1109,1390,7.0121,0,0,true,42,0.0952,typical,
89LCuhngfos,350,22838371,1200000,16.9440,1,2,true,30,0.7000,typical,
8AbGc1cF76U,1231,418882,175000,12.9453,1,1,true,27,0.2963,typical,
8CEPGfzxefY,4,21612,3630000,9.9811,0,2,false,15,0.1333,typical,
8IJN-SLY_UY,1733,124282,99,11.7303,2,0,true,16,0.0625,typical,
8L0qsZE5gys,1687,643361,27500,13.3745,2,0,true,16,0.3125,typical,
8PLjXDvTta8,1514,4498008,540000,15.3191,0,1,false,13,0.9231,viral,
8Q_5T7-hKhY,3,17828,9350,9.7886,0,0,true,42,0.6905,typical,
8fH4ZSEcizg,1211,4538362,276000,15.3281,1,1,true,27,0.7778,typical,
8wj_gkYdCp8,449,185430,81200,12.1304,1,1,true,27,0.1852,typical,
95iKaeKxt7c,1180,61581,25900,11.0281,1,0,true,19,0.2105,typical,
9MlBl-Qj9bE,1,1771,2020,7.4799,0,0,true,42,0.3571,typical,
9NPRuPqLhsk,1141,48132,18200,10.7817,1,0,true,19,0.1579,typical,
9S9HT1AqaJQ,2,18740,4840,9.8385,0,0,true,42,0.7143,typical,
9WQLeZc2GO8,3574,127092612,10600000,18.6604,2,2,false,22,1.0000,viral,
9c-w3487-lw,320,10056584,1440000,16.1237,0,2,true,9,1.0000,viral,
9lIS1m6BbNQ,1995,580387,3460000,13.2715,2,2,true,36,0.2500,typical,
9p7jRIn8VbI,1,24870,100000,10.1215,0,1,true,26,0.3077,typical,
9vviSJdToUg,1590,16502374,2790000,16.6190,2,2,true,36,0.8611,viral,
A4GvfCyEqv0,1105,259143,1550,12.4651,1,0,true,19,0.4211,typical,
AAY5J5bwRDU,5761,1318900,9180,14.0923,2,0,false,8,0.7500,typical,
AL_fHb7vRoo,2939,335561,494000,12.7236,2,1,false,18,0.2222,typical,
AOpi-p0cJkc,3415,1663168,549000,14.3242,2,1,false,18,0.6111,typical,
AX84Qc0dwo4,1689,1692173,1240000,14.3415,0,2,false,15,0.6667,typical,
Adnhq2KLDwA,1176,13988937,569000,16.4538,1,1,true,27,0.8889,viral,
