video_id,days_since_upload,view_count,channel_follower_count,log_views,age_band,size_band,is_short,cell_size,cell_percentile,label,warnings
-5XzwUqHIGQ,4882,1293,25800,7.1655,2,2,false,49,0.0408,typical,
-Bo1V7VXfOw,28,21,2260,3.0910,0,0,false,30,0.2333,typical,
-DBSL3jFd98,1324,4692,1390,8.4538,1,0,false,41,0.3902,typical,
-Js2wmt_Kek,459,18908,5690,9.8474,0,1,false,39,0.8974,viral,
-Z_5FL8S_ME,1328,5621,877,8.6344,2,0,true,24,0.1667,typical,
-a7hyYRPZ4g,3,1171,444000,7.0665,0,2,false,32,0.1875,typical,
-eO06yKX9DQ,15,124,2260,4.8283,0,0,false,30,0.4333,typical,
-g9PTJ9NYXw,154,391,50800,5.9713,0,2,false,32,0.0938,typical,
-nGtPlzwvFw,479,8954,12500,9.1000,0,1,false,39,0.7436,typical,
-pu5fnqaTWs,942,6412,12000,8.7661,1,1,false,40,0.4000,typical,
-q5MNBliJA4,1939,14956,55700,9.6129,1,2,false,20,0.5500,typical,
-v82ZS50OrM,1845,10622,2770,9.2708,1,0,false,41,0.7073,typical,
0AkGDosbGiA,314,22270292,2660000,16.9188,1,2,true,13,0.9231,viral,
0_lxrKfxfsk,795,6713,13300,8.8120,0,1,false,39,0.7179,typical,
0ap9tC8iaGA,1628,14367,181000,9.5728,1,2,false,20,0.5000,typical,
0aqoXzbwHBM,499,2556,580,7.8466,1,0,true,27,0.2222,typical,
0eoWPcd0-V0,3317,568,1530,6.3439,2,0,false,30,0.0667,typical,
0oodpAXhhlc,477,25797,607,10.1581,1,0,true,27,0.7037,typical,
0qzhvtcaPqY,3,24738,13800,10.1161,0,1,true,26,0.4615,typical,
19PAY0Eha3Q,325,11890,2190,9.3835,1,0,true,27,0.5185,typical,
1kIbvZypURM,573,299003,1650,12.6082,1,0,true,27,0.9259,viral,
1poWV0OLSMA,2847,588562,2550000,13.2854,2,2,false,49,0.9388,viral,
1sH_JQh9tkU,1259,5625,5360,8.6352,1,1,false,40,0.3500,typical,
1wrAT8jCmMs,1232,2535565,526000,14.7459,1,2,false,20,1.0000,viral,
21TT3PH_V-c,2,7686,72100,8.9473,0,1,true,26,0.3077,typical,
2PfkwxDO2uc,1788,64358,5690,11.0722,1,1,false,40,0.9500,viral,
2YQv_cB9I9k,2275,4100,5060,8.3190,2,1,false,22,0.3636,typical,
2n_If87cmK8,1374,11055,92600,9.3107,2,1,true,12,0.3333,typical,
2qz6YldMduk,1451,3288,4480,8.0983,2,0,true,24,0.1250,typical,
2zWCAZNFgyA,3,4044,36500,8.3052,0,1,true,26,0.2692,typical,
38ELvS_4y5w,818,30222,4160,10.3164,0,1,false,39,1.0000,viral,
3E93ZXLmneA,2868,10980,30000,9.3039,2,2,false,49,0.3265,typical,
3FaFEDfRYr4,1905,3084,1530,8.0343,1,0,false,41,0.2439,typical,
3FyU9p8VwmM,0,94834,123000,11.4599,0,2,true,23,0.8696,viral,
3Inb39-fZA0,8,2426,7160,7.7944,1,1,true,18,0.2222,typical,
3N5dsKGE84s,3467,2616,56,7.8698,2,0,false,30,0.2333,typical,
3_ekNHOkDCg,1247,4606767,2690000,15.3430,2,2,true,23,0.7391,typical,
3a-n8zWLIOc,800,26319,1090000,10.1781,0,2,false,32,0.6562,typical,
3g19sLdwxUc,2632,4143,6290,8.3294,2,1,false,22,0.4091,typical,
3rLlsbz37mo,2,5708,139000,8.6498,0,2,true,23,0.3478,typical,
3xMLo-qFFJg,5456,276710,549000,12.5307,2,2,false,49,0.8980,viral,
4DtzTX_PXJo,926,60766,6480,11.0148,2,1,true,12,0.5000,typical,
4_sars4ESB4,2,685,1210000,6.5309,0,2,false,32,0.1250,typical,
4ed0KeNxYRE,4288,2526,5490,7.8348,2,1,false,22,0.1364,typical,
4jLz-YetTbk,1965,1652,71400,7.4103,1,2,false,20,0.1500,typical,
4jRXNT_VR9c,465,4734,409,8.4627,1,0,true,27,0.3333,typical,
4ld4me5WcfA,2687,22788,51800,10.0340,2,2,false,49,0.5714,typical,
564dSxCXMNU,951,70109,5690,11.1578,2,0,true,24,0.6667,typical,
5H3AyCyGfqE,2134,106386,108,11.5748,2,0,true,24,0.7500,typical,
5MATukT41nI,77,201,2840,5.3083,0,1,false,39,0.1282,typical,
5QZs2l9AaGE,2,2625,65100,7.8732,0,1,true,26,0.1923,typical,
5Qi3j3oUnZo,775,691761,130000,13.4470,2,2,true,23,0.5217,typical,
62Nr9B2ed7E,703,471186,61100,13.0630,2,1,true,12,0.6667,typical,
62gOhxEi-t8,2206,60678,26100,11.0134,2,2,false,49,0.7551,typical,
6HSi_GOuPT8,3134,5707,209,8.6496,2,0,false,30,0.5333,typical,
6I4npimuOvw,2904,6131,5710,8.7213,2,1,false,22,0.6364,typical,
6JzE8JZcV6w,3518,108791,84500,11.5972,2,2,false,49,0.7959,viral,
6Nua_UpDd8o,1,1672,138000,7.4224,0,2,false,32,0.2188,typical,
6Uf4Elvh-9A,1726,10363,2210,9.2461,1,0,false,41,0.6829,typical,
6ekIkOEaXtg,633,3446,1290,8.1453,1,0,true,27,0.2593,typical,
6twxO2-zYyQ,18,2425,29400,7.7940,0,2,false,32,0.3125,typical,
72vYl6dNljw,1,31,7880,3.4657,0,1,false,39,0.0256,typical,
74yZTJSAz6g,1824,2838,5220,7.9512,1,1,false,40,0.1000,typical,
76_7aI75YrM,7,59,608,4.0943,1,0,true,27,0.0370,typical,
77lSnWdpWzs,1664,4637,12400,8.4420,1,1,false,40,0.3000,typical,
78H3vkI0XKY,1685,6099,666,8.7160,1,0,false,41,0.4878,typical,
79O6Iim17kE,460,12766,2460,9.4546,0,0,false,30,0.9667,viral,
7RhyG-CxMWc,3439,54729,480,10.9102,2,0,false,30,0.9333,viral,
7T6OUyBaZbY,5,18176,1320000,9.8079,0,2,true,23,0.6957,typical,
7juA2INqvms,3120,7611,39,8.9375,2,0,false,30,0.6667,typical,
7wVH0LqNCWE,9,137649,198000,11.8325,1,2,true,13,0.4615,typical,
826L2i13SmM,288,4418817,2340,15.3014,1,0,true,27,1.0000,viral,
8KJ-h6tmb1g,602,193836,371000,12.1748,1,2,true,13,0.5385,typical,
8Kh_xM8NFtA,2,1087,2750,6.9921,0,0,true,11,0.2727,typical,
8MtJye_iCTA,1488,11499,20,9.3501,2,0,true,24,0.3750,typical,
8PBsHSSCbao,3122,4653,2080,8.4455,2,0,false,30,0.4667,typical,
8ULFGmuS2_E,1,1876,22600,7.5374,0,1,true,26,0.1538,typical,
8ZphHLmWW2M,1,1349,49,7.2079,0,0,true,11,0.7273,typical,
8eE6PPTt2II,1043,34028,105000,10.4350,2,2,true,23,0.0870,typical,
8iNXhvUtZ_0,1017,732,489,6.5971,1,0,false,41,0.0488,typical,
8mHXvIcxA2s,1938,2841,3050,7.9523,1,1,false,40,0.1250,typical,
8pPCMjqI_uw,2803,678895,2550000,13.4282,2,2,false,49,0.9592,viral,
9CDlGNMdeCg,1201,155724,2720000,11.9558,2,2,true,23,0.1739,typical,
9KLcH3j70-A,2337,335562,3220,12.7236,2,1,false,22,1.0000,viral,
9RhIZWPBkks,1493,2192,2190,7.6930,1,0,false,41,0.1707,typical,
9fPjF6sZ3yA,2,1784,5280,7.4872,0,1,false,39,0.4103,typical,
9l1We0q9S2Q,2659,23600,51800,10.0690,2,2,false,49,0.5918,typical,
9sCHdklCYbY,0,3383,34100,8.1268,0,2,false,32,0.3438,typical,
AEJ8LNMseu4,1915,1677,1280,7.4254,1,0,false,41,0.0976,typical,
ALlujfga9BU,2051,1993,1530,7.5979,1,0,false,41,0.1220,typical,
AQcs_q9twPs,566,538,1060,6.2897,0,0,false,30,0.5000,typical,
ASBINuwgE0s,2118,1564,1800,7.3556,1,0,false,41,0.0732,typical,
ASPePQXe01Q,1004,12646,4500,9.4452,1,1,false,40,0.6250,typical,
AY_fAk5brUc,872,50456,65100,10.8289,0,2,false,32,0.6875,typical,
AgX1BgZ1TTM,1077,17026,4160,9.7426,1,1,false,40,0.6500,typical,
AjbDC6B-B5M,1783,10954,694,9.3016,1,0,false,41,0.7317,typical,
BCTA9FwuRQk,773,20678,8300,9.9369,0,1,false,39,0.9231,viral,
BNHBqH2T9V0,1895,226,2930,5.4250,1,1,false,40,0.0250,typical,
BakI-vwnwMY,2,44860,43700,10.7113,0,1,true,26,0.7308,typical,
BeTqpvIlaj4,1178,19803,20500,9.8936,1,2,false,20,0.6000,typical,
BewkhuqUZXg,777,37554223,7780000,17.4413,2,2,true,23,0.9130,viral,
Bmv_K9OkooE,2,1830,125000,7.5126,0,2,true,23,0.1304,typical,
Bw8oB53Qgpc,16,691,3650,6.5396,0,1,false,39,0.2051,typical,
CBA180rpNgo,1919,78894,1450,11.2759,2,0,true,24,0.7083,typical,
D-TvHupeG6Y,2889,11147,325,9.3190,2,0,false,30,0.7333,typical,
D3-d3RWnMes,318,7386,5690,8.9075,1,0,true,27,0.4074,typical,
DOtRmsn7ttg,280,1456,10500,7.2841,0,1,false,39,0.3846,typical,
