video_id,days_since_upload,view_count,channel_follower_count,log_views,age_band,size_band,is_short,cell_size,cell_percentile,label,warnings
-7D7zIJ8bbY,441,13125,91000,9.4824,2,1,true,23,0.0435,typical,
-E7oy48zgo0,267,310335,52200,12.6454,2,0,false,35,0.7714,typical,
-Sw9mWE_dmk,5,156298,94000,11.9595,0,1,true,42,0.5714,typical,
-VF8xHdISEs,12,17398,82800,9.7642,1,0,false,19,0.0526,typical,
-ZYQ3WvupZY,14,62249,770000,11.0389,1,1,true,36,0.0556,typical,
-kHRtClmTIE,44,2015373,14900000,14.5163,2,2,false,19,0.4211,typical,
-mS-O1gL5o0,14,2675687,23900000,14.7997,1,2,false,25,0.5200,typical,
-xyHLcVZU4Y,218,270,177,5.6021,2,0,true,41,0.3902,typical,
0Ac7FeMJGwo,61,4374508,108000,15.2913,2,1,true,23,0.7826,typical,
0BdVjyz7nDI,7,2658488,20700000,14.7933,0,2,false,34,0.7353,typical,
0I_72h_Nj0o,12,184128,220000,12.1234,1,1,true,36,0.1667,typical,
0KVCI6ijsjY,11,380655,1770000,12.8497,1,2,false,25,0.2000,typical,
0N4UE2-RtA0,1,15774,19700,9.6662,0,0,true,52,0.3654,typical,
0RsL2qq91AE,3,10753864,1610000,16.1908,0,2,true,17,0.9412,viral,
0TdZM110qxM,2,10210689,1610000,16.1389,0,2,true,17,0.8824,viral,
0VfvepNmE4Q,115,1293585,304000,14.0729,2,1,false,24,0.8750,viral,
0YAELDpe6Aw,7,392679,41300,12.8808,0,0,false,24,1.0000,viral,
0e7cCLKQbI0,449,1753107,22200,14.3769,2,0,false,35,0.9143,viral,
0gBmSmiYlfQ,348,98802978,15900000,18.4086,2,2,true,34,0.7941,viral,
0gLTzzZVtLU,12,225118,537000,12.3244,1,1,false,25,0.6800,typical,
0j5lSvu1otA,9,91479,32900,11.4239,1,0,true,9,0.4444,typical,
0lfwsk3G0xk,91,3365,346,8.1215,2,0,true,41,0.8049,viral,
0n42-2bV7no,20,251858,902000,12.4366,1,1,false,25,0.7200,typical,
0n9mEipmDjY,7,619289,12000000,13.3363,0,2,false,34,0.3235,typical,
0tfcJDOSZPU,322,86836292,12600000,18.2795,2,2,true,34,0.7647,typical,
0vH0WXpbxC0,35,633608,173000,13.3592,2,1,false,24,0.5833,typical,
0wzi3yXsy8o,1,1493,353,7.3092,0,0,true,52,0.0577,typical,
11xMRGN-KWE,10,2714443,23900000,14.8141,0,2,false,34,0.7647,typical,
18yWzIUkreU,178,144,48600,4.9767,2,0,true,41,0.2439,typical,
1WgMQ9iGZcc,7,333967,47300,12.7188,0,0,true,52,0.8846,viral,
1fClYsOGYQE,513,3319469,1580000,15.0153,2,2,true,34,0.2353,typical,
1t-M3NpiXUs,30,2446157,7520000,14.7100,2,2,false,19,0.4737,typical,
2-iOGD52g4o,17,6034456,41600000,15.6130,1,2,false,25,0.9600,viral,
22AlEn2zc_E,80,51436,56000,10.8481,2,0,false,35,0.1143,typical,
23hgrvX-Z4c,14,759189,817000,13.5400,1,2,true,50,0.2000,typical,
27hbQhAufmI,8,95894,503000,11.4710,0,1,false,29,0.5862,typical,
2B6T5l1W064,13,32834,358000,10.3993,1,1,false,25,0.0400,typical,
2IZpJiQCeu4,213,800098,1500000,13.5925,2,1,false,24,0.6667,typical,
2SOY2H1Su2c,13,3709757,1030000,15.1265,1,2,true,50,0.6000,typical,
2clwns8eQ18,226,20122,2570,9.9096,2,0,true,41,0.8293,viral,
2jQz0yTMRm4,2,181974,182000,12.1116,0,1,true,42,0.6190,typical,
2qWiygoT898,10,67372,13400,11.1180,0,0,false,24,0.6250,typical,
2tM5F_X9ztA,752,135622743,15900000,18.7254,2,2,true,34,0.8529,viral,
34Dm_ndyGnc,8,780219,88300,13.5673,1,1,true,36,0.5833,typical,
3CdaYmuCgvo,11,277319,1720000,12.5329,1,2,false,25,0.1200,typical,
3X-_ub_NJNA,11,8469145,9650000,15.9519,1,2,true,50,0.8200,viral,
3_q4ltsZdXw,334,182651792,15900000,19.0231,2,2,true,34,0.9412,viral,
3flasGVUrCA,161,16701648,136000,16.6310,2,0,false,35,1.0000,viral,
3tRLD_qitXg,1,989876,7240000,13.8053,0,2,true,17,0.4706,typical,
3v-t2Qt39yE,345,203410,62100,12.2230,2,0,false,35,0.6571,typical,
3vfzYJLaskA,12,4296315,1220000,15.2733,1,2,true,50,0.6600,typical,
41mF69pzsNw,14,3164163,20700000,14.9674,1,2,false,25,0.7200,typical,
4MFUzsuKDno,110,164337,46300,12.0097,2,0,false,35,0.5143,typical,
4P2Wv7tlTXM,333,110680,29600,11.6144,2,0,false,35,0.3714,typical,
4X6GvT37-1w,126,170,151,5.1417,2,0,true,41,0.3171,typical,
4XOT-eNaqa8,15,2133412,93300,14.5732,1,1,true,36,0.8333,viral,
4_CM7iESxgE,15,1477343,2700000,14.2058,1,2,true,50,0.4000,typical,
4gnwfEGORww,521,1640170,510000,14.3103,2,1,true,23,0.6087,typical,
4ji5YKPYzmA,22,608169,2210000,13.3182,2,2,true,34,0.0588,typical,
4kXpoMpXb3E,5,112615,858000,11.6317,0,1,false,29,0.6897,typical,
4wCwVzlo3EQ,43,1611422,2920000,14.2926,2,2,true,34,0.1176,typical,
4xZ7sj7vGKY,11,1352570,2210000,14.1175,1,2,false,25,0.4000,typical,
5207trn9Fm0,14,56588515,23300000,17.8513,1,2,true,50,0.9400,viral,
5630Hz2Dzw4,9,4743669,14900000,15.3723,1,2,true,50,0.7000,typical,
588qx9Ccd14,2,128253,354000,11.7618,0,1,true,42,0.4286,typical,
5K7VZ3y5AIc,60,322292,2140000,12.6832,2,2,false,19,0.1053,typical,
5Kfu-iUTVQk,421,369991,217000,12.8212,2,1,true,23,0.2609,typical,
5Pv2n_AvOqY,10,449132,1300000,13.0151,0,1,false,29,0.7931,viral,
5VR7ir5oB4w,11,2330220,6870000,14.6615,1,2,false,25,0.4800,typical,
5e8SBi9G2bk,12,1415547,918000,14.1630,1,2,true,50,0.3600,typical,
5hedan63SZE,8,87314,174000,11.3773,0,1,false,29,0.5172,typical,
5iFG264wz9U,23,7143189,15900000,15.7817,2,2,true,34,0.4118,typical,
5ix9lbmEWYw,0,7440,1520000,8.9148,0,2,true,17,0.0588,typical,
5qLYtnzCbi8,5,85556,1580000,11.3569,0,2,false,34,0.0588,typical,
5sOj52ys1N0,20,333102,654000,12.7162,2,1,true,23,0.1739,typical,
5vBiLK46EoM,13,8134542,7530000,15.9116,1,2,true,50,0.8000,viral,
66MX7rEl748,9,543031,518000,13.2049,0,1,false,29,0.8966,viral,
66MfaFGD6Eg,0,35375,93900,10.4738,0,1,true,42,0.2381,typical,
6JR4R7SEnt4,4,288103,8630,12.5711,0,0,true,52,0.8654,viral,
6ftD0N64ZII,13,4732139,41600000,15.3699,1,2,false,25,0.8800,viral,
6mXoTqNOLF8,2,4235004,41600000,15.2589,0,2,false,34,0.9118,viral,
6nuemrJg1l0,13,65344079,12600000,17.9952,1,2,true,50,0.9800,viral,
6qjumS2U81s,184,145,48600,4.9836,2,0,true,41,0.2683,typical,
6sCvZqHSPAY,9,270245,91100,12.5071,1,1,true,36,0.2500,typical,
6yuASL9Q8to,2,18920,42500,9.8480,0,0,true,52,0.3846,typical,
7BcppfDoj4g,57,1145192,816000,13.9511,2,1,false,24,0.8333,viral,
7Kkj68R7GRs,10,41342,72100,10.6297,0,0,false,24,0.4583,typical,
7NI_-uP21TM,8,3085486,2630000,14.9422,1,2,true,50,0.5800,typical,
7TPUchKPqug,31,4748563,41600000,15.3734,2,2,false,19,0.5789,typical,
7YF-7Ztd9yM,9,5795351,7240000,15.5726,1,2,true,50,0.7200,typical,
7nYRXYVS4nw,7,132241,24700,11.7924,0,0,true,52,0.7308,typical,
7v67Y02czU0,27,1530114,198000,14.2409,2,1,false,24,0.9167,viral,
7vxHLo2oBUU,5,4335728,23800000,15.2824,0,2,false,34,0.9412,viral,
85OUNUY3AMI,352,298696,1780000,12.6072,2,2,true,34,0.0294,typical,
8IL_nMjDNg4,0,12854,49900,9.4615,0,0,true,52,0.3269,typical,
8Ms49d7az_A,108,427,636,6.0591,2,0,true,41,0.5122,typical,
8OUaCD5oZws,11,4215942,506000,15.2544,1,1,true,36,0.9722,viral,
8SIhXFR4I5U,22,1215773,48800,14.0109,2,0,true,41,0.9756,viral,
8WdVPCMYMaI,249,138004,39700,11.8350,2,0,false,35,0.4286,typical,
8q8ICVvXgLo,20,531637,30200,13.1837,2,0,true,41,0.9268,viral,
8qFMOnKnrU8,14,3583699,236000,15.0919,1,1,true,36,0.9167,viral,
8qctYC4uoqY,18,525233,503000,13.1716,2,1,true,23,0.3043,typical,
8zhCpAQowf8,7,192435,1810,12.1675,0,0,true,52,0.7885,viral,
